Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-24;1;710,713;0,000
2022-12-24;2;757,988;0,000
2022-12-24;3;931,188;0,000
2022-12-24;4;1184,300;0,000
2022-12-24;5;1332,625;0,000
2022-12-24;6;1401,963;0,000
2022-12-24;7;1446,213;0,000
2022-12-24;8;1393,113;5,875
2022-12-24;9;1331,925;143,663
2022-12-24;10;1231,725;518,225
2022-12-24;11;1046,038;914,488
2022-12-24;12;886,450;1076,000
2022-12-24;13;804,288;873,188
2022-12-24;14;743,188;544,075
2022-12-24;15;744,825;241,825
2022-12-24;16;794,088;62,088
2022-12-24;17;826,100;0,000
2022-12-24;18;828,900;0,000
2022-12-24;19;863,388;0,000
2022-12-24;20;854,938;0,000
2022-12-24;21;778,238;0,000
2022-12-24;22;745,500;0,000
2022-12-24;23;720,600;0,000
2022-12-24;24;773,363;0,000
