Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-26;1;3840,488;0,000
2022-12-26;2;3885,950;0,000
2022-12-26;3;3931,963;0,000
2022-12-26;4;3575,525;0,000
2022-12-26;5;4052,113;0,000
2022-12-26;6;3692,188;0,000
2022-12-26;7;3617,950;0,000
2022-12-26;8;3756,100;4,388
2022-12-26;9;3839,738;152,000
2022-12-26;10;3806,888;446,400
2022-12-26;11;5035,263;844,350
2022-12-26;12;5694,700;1014,813
2022-12-26;13;5884,063;1055,200
2022-12-26;14;5603,888;758,850
2022-12-26;15;5187,150;349,813
2022-12-26;16;5063,688;90,338
2022-12-26;17;4880,438;0,000
2022-12-26;18;4768,263;0,000
2022-12-26;19;5152,088;0,000
2022-12-26;20;5542,425;0,000
2022-12-26;21;5800,325;0,000
2022-12-26;22;5901,825;0,000
2022-12-26;23;5360,363;0,000
2022-12-26;24;4638,850;0,000
