Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-23;1;3306,850;0,000
2022-12-23;2;3147,938;0,000
2022-12-23;3;2754,025;0,000
2022-12-23;4;2644,963;0,000
2022-12-23;5;2493,288;0,000
2022-12-23;6;2354,738;0,000
2022-12-23;7;2432,188;0,000
2022-12-23;8;2522,575;12,775
2022-12-23;9;2420,163;128,600
2022-12-23;10;2278,700;353,413
2022-12-23;11;2187,575;705,638
2022-12-23;12;2212,088;826,675
2022-12-23;13;2181,975;760,150
2022-12-23;14;2066,113;527,663
2022-12-23;15;2141,763;264,725
2022-12-23;16;1940,813;74,763
2022-12-23;17;1689,100;0,000
2022-12-23;18;1466,275;0,000
2022-12-23;19;1304,763;0,000
2022-12-23;20;1175,663;0,000
2022-12-23;21;946,525;0,000
2022-12-23;22;714,450;0,000
2022-12-23;23;676,963;0,000
2022-12-23;24;701,138;0,000
