Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-10;1;523,750;0,000
2022-12-10;2;493,750;0,000
2022-12-10;3;521,363;0,000
2022-12-10;4;565,938;0,000
2022-12-10;5;576,350;0,000
2022-12-10;6;568,488;0,000
2022-12-10;7;586,675;0,000
2022-12-10;8;572,875;21,275
2022-12-10;9;556,238;67,063
2022-12-10;10;503,788;143,413
2022-12-10;11;407,450;299,838
2022-12-10;12;364,450;402,313
2022-12-10;13;342,250;359,225
2022-12-10;14;331,338;221,463
2022-12-10;15;345,463;111,725
2022-12-10;16;350,813;63,813
2022-12-10;17;341,625;0,000
2022-12-10;18;341,288;0,000
2022-12-10;19;361,038;0,000
2022-12-10;20;393,275;0,000
2022-12-10;21;425,788;0,000
2022-12-10;22;458,825;0,000
2022-12-10;23;490,525;0,000
2022-12-10;24;455,375;0,000
