Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-21;1;4442,275;0,000
2022-12-21;2;4409,913;0,000
2022-12-21;3;4301,938;0,000
2022-12-21;4;4222,550;0,000
2022-12-21;5;4144,613;0,000
2022-12-21;6;3954,025;0,000
2022-12-21;7;3909,788;0,000
2022-12-21;8;3667,850;15,375
2022-12-21;9;3612,938;131,463
2022-12-21;10;3389,788;411,488
2022-12-21;11;3103,200;637,363
2022-12-21;12;2804,950;657,800
2022-12-21;13;2688,875;617,475
2022-12-21;14;2563,488;415,438
2022-12-21;15;2350,263;208,575
2022-12-21;16;2278,875;67,575
2022-12-21;17;2430,875;0,000
2022-12-21;18;2563,188;0,000
2022-12-21;19;2601,688;0,000
2022-12-21;20;2697,225;0,000
2022-12-21;21;2808,638;0,000
2022-12-21;22;2857,225;0,000
2022-12-21;23;2770,500;0,000
2022-12-21;24;2921,088;0,000
