Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-22;1;2919,113;0,000
2022-12-22;2;2882,025;0,000
2022-12-22;3;2902,425;0,000
2022-12-22;4;2895,125;0,000
2022-12-22;5;2843,625;0,000
2022-12-22;6;2800,113;0,000
2022-12-22;7;2872,100;0,000
2022-12-22;8;2886,288;10,725
2022-12-22;9;2965,200;135,525
2022-12-22;10;2910,800;542,125
2022-12-22;11;2814,450;915,725
2022-12-22;12;2676,275;1168,825
2022-12-22;13;2420,913;1088,988
2022-12-22;14;2568,900;721,038
2022-12-22;15;2883,550;350,763
2022-12-22;16;3107,188;102,413
2022-12-22;17;3305,263;0,000
2022-12-22;18;3381,700;0,000
2022-12-22;19;3675,763;0,000
2022-12-22;20;3812,513;0,000
2022-12-22;21;3819,888;0,000
2022-12-22;22;3684,813;0,000
2022-12-22;23;3551,250;0,000
2022-12-22;24;3522,850;0,000
