Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-25;1;900,200;0,000
2022-12-25;2;968,850;0,000
2022-12-25;3;956,613;0,000
2022-12-25;4;828,675;0,000
2022-12-25;5;731,825;0,000
2022-12-25;6;609,100;0,000
2022-12-25;7;566,263;0,000
2022-12-25;8;533,550;4,613
2022-12-25;9;405,875;132,538
2022-12-25;10;382,875;574,088
2022-12-25;11;342,725;1126,388
2022-12-25;12;357,338;1471,650
2022-12-25;13;377,325;1467,088
2022-12-25;14;421,238;1112,125
2022-12-25;15;533,363;549,913
2022-12-25;16;711,113;114,275
2022-12-25;17;1139,200;0,000
2022-12-25;18;1567,238;0,000
2022-12-25;19;2090,313;0,000
2022-12-25;20;2686,375;0,000
2022-12-25;21;3134,663;0,000
2022-12-25;22;3747,438;0,000
2022-12-25;23;3884,888;0,000
2022-12-25;24;4085,875;0,000
