Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-19;1;2831,913;0,000
2022-12-19;2;2970,238;0,000
2022-12-19;3;3232,750;0,000
2022-12-19;4;3504,863;0,000
2022-12-19;5;3723,375;0,000
2022-12-19;6;4010,450;0,000
2022-12-19;7;4315,950;0,000
2022-12-19;8;4673,613;19,450
2022-12-19;9;4821,700;281,800
2022-12-19;10;4826,425;823,550
2022-12-19;11;4902,938;1392,313
2022-12-19;12;4894,625;1666,075
2022-12-19;13;4926,075;1499,800
2022-12-19;14;5059,088;1064,050
2022-12-19;15;5409,075;547,438
2022-12-19;16;5563,088;157,450
2022-12-19;17;5502,238;0,000
2022-12-19;18;5384,475;0,000
2022-12-19;19;5246,163;0,000
2022-12-19;20;5198,750;0,000
2022-12-19;21;5282,113;0,000
2022-12-19;22;5283,188;0,000
2022-12-19;23;5310,500;0,000
2022-12-19;24;5249,063;0,000
