Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-17;1;424,500;0,000
2022-12-17;2;396,763;0,000
2022-12-17;3;344,288;0,000
2022-12-17;4;389,213;0,000
2022-12-17;5;390,850;0,000
2022-12-17;6;364,025;0,000
2022-12-17;7;346,988;0,000
2022-12-17;8;382,488;21,550
2022-12-17;9;379,288;85,688
2022-12-17;10;375,613;249,125
2022-12-17;11;373,938;413,238
2022-12-17;12;436,088;545,713
2022-12-17;13;457,325;510,588
2022-12-17;14;450,475;417,925
2022-12-17;15;453,375;259,800
2022-12-17;16;505,763;91,625
2022-12-17;17;599,813;0,000
2022-12-17;18;688,450;0,000
2022-12-17;19;750,613;0,000
2022-12-17;20;774,838;0,000
2022-12-17;21;811,838;0,000
2022-12-17;22;805,550;0,000
2022-12-17;23;840,313;0,000
2022-12-17;24;924,313;0,000
